Catalog #,Class 2,Class 3,Class 4,Obj Des Details:Obj Name,Material,Common Name,Quantity,Collector,Locality,Ctry-Cont-Ocean,State-Prov-Sea,Cty-Bay-Parish,St Site No,Site Info:Site Name,Map Qd-Scl:Map-Quad,Remarks
000067677.0000,PREHISTORIC,ANIMAL,BONE,unidentified,bone,,2.00,Thunderbird Archaeology,,United States,Virginia,Warren County,44WR0300,,Front Royal,calcined
000067678.0000,PREHISTORIC,ANIMAL,BONE,unidentified,bone,,62.00,Thunderbird Archaeology,,United States,Virginia,Warren County,44WR0300,,Front Royal,indeterminate
000067679.0000,PREHISTORIC,ANIMAL,BONE,long bone,bone,,23.00,Thunderbird Archaeology,,United States,Virginia,Warren County,44WR0300,,Front Royal,indeterminate
000067680.0000,PREHISTORIC,ANIMAL,BONE,unidentified,bone,,17.00,Thunderbird Archaeology,,United States,Virginia,Warren County,44WR0300,,Front Royal,burned
000067681.0000,PREHISTORIC,ANIMAL,BONE,unidentified,bone,,22.00,Thunderbird Archaeology,,United States,Virginia,Warren County,44WR0300,,Front Royal,indeterminate
000067682.0000,PREHISTORIC,ANIMAL,BONE,unidentified,bone,,15.00,Thunderbird Archaeology,,United States,Virginia,Warren County,44WR0300,,Front Royal,calcined
000067683.0000,PREHISTORIC,ANIMAL,BONE,unidentified,bone,,2.00,Thunderbird Archaeology,,United States,Virginia,Warren County,44WR0300,,Front Royal,burned
000067684.0000,PREHISTORIC,ANIMAL,BONE,unidentified,bone,,3.00,Thunderbird Archaeology,,United States,Virginia,Warren County,44WR0300,,Front Royal,cf. bird
000067685.0000,PREHISTORIC,ANIMAL,BONE,unidentified,bone,white-tailed deer,2.00,Thunderbird Archaeology,,United States,Virginia,Warren County,44WR0300,,Front Royal,
000067686.0000,PREHISTORIC,ANIMAL,BONE,unidentified,bone,white-tailed deer,6.00,Thunderbird Archaeology,,United States,Virginia,Warren County,44WR0300,,Front Royal,
000067687.0000,PREHISTORIC,ANIMAL,BONE,long bone,bone,,6.00,Thunderbird Archaeology,,United States,Virginia,Warren County,44WR0300,,Front Royal,indeterminate; from 71 liters; water screened
000067688.0000,PREHISTORIC,ANIMAL,BONE,unidentified,bone,,6.00,Thunderbird Archaeology,,United States,Virginia,Warren County,44WR0300,,Front Royal,burned; from 71 liters; water screened
000067689.0000,PREHISTORIC,ANIMAL,BONE,unidentified,bone,raccoon,1.00,Thunderbird Archaeology,,United States,Virginia,Warren County,44WR0300,,Front Royal,
000067690.0000,PREHISTORIC,ANIMAL,BONE,unidentified,bone,,8.00,Thunderbird Archaeology,,United States,Virginia,Warren County,44WR0300,,Front Royal,calcined
000067691.0000,PREHISTORIC,ANIMAL,BONE,unidentified,bone,white-tailed deer,3.00,Thunderbird Archaeology,,United States,Virginia,Warren County,44WR0300,,Front Royal,from 93.5 liters; water screened
000067692.0000,PREHISTORIC,ANIMAL,BONE,unidentified,bone,,2.00,Thunderbird Archaeology,,United States,Virginia,Warren County,44WR0300,,Front Royal,calcined
000067693.0000,PREHISTORIC,ANIMAL,BONE,unidentified,bone,,2.00,Thunderbird Archaeology,,United States,Virginia,Warren County,44WR0300,,Front Royal,burned; from 18 liters; heavy fraction
000067694.0000,PREHISTORIC,ANIMAL,BONE,unidentified,bone,,4.00,Thunderbird Archaeology,,United States,Virginia,Warren County,44WR0300,,Front Royal,indeterminate; from 18 liters; heavy fraction
000067695.0000,PREHISTORIC,ANIMAL,BONE,long bone,bone,,9.00,Thunderbird Archaeology,,United States,Virginia,Warren County,44WR0300,,Front Royal,indeterminate; from 18 liters; heavy fraction
000067696.0000,PREHISTORIC,ANIMAL,BONE,unidentified,bone,,1.00,Thunderbird Archaeology,,United States,Virginia,Warren County,44WR0300,,Front Royal,
000067697.0000,PREHISTORIC,ANIMAL,BONE,unidentified,bone,,1.00,Thunderbird Archaeology,,United States,Virginia,Warren County,44WR0300,,Front Royal,indeterminate; from 19 liters; heavy fraction
000067698.0000,PREHISTORIC,ANIMAL,BONE,long bone,bone,,22.00,Thunderbird Archaeology,,United States,Virginia,Warren County,44WR0300,,Front Royal,indeterminate; from 15 liters; heavy fraction
000067699.0000,PREHISTORIC,ANIMAL,BONE,unidentified,bone,,13.00,Thunderbird Archaeology,,United States,Virginia,Warren County,44WR0300,,Front Royal,burned; from burned Area of pit; 12 liters; heavy fraction
000067700.0000,PREHISTORIC,ANIMAL,BONE,unidentified,bone,,6.00,Thunderbird Archaeology,,United States,Virginia,Warren County,44WR0300,,Front Royal,calcined; from burned Area of pit
000067701.0000,PREHISTORIC,ANIMAL,BONE,left scapula,bone,white-tailed deer,45.00,Thunderbird Archaeology,,United States,Virginia,Warren County,44WR0300,,Front Royal,
